student_id,full_name,gpa
20200001,كاظم الدباغ,71.6
20200002,حسني آل محمد بن علي بن جماز,77.0
20200003,نبهان العليان,65.3
20200004,لقاء أبا الخيل,68.9
20200005,مياس الجفالي,73.7
20200006,يعرب آل علي,63.2
20200007,ناصيف آل سعود,65.0
20200008,عبد الغني آل سعود,73.3
20200009,رامح حنبولي,74.8
20200010,عارف المهنا,76.3
20200011,لورين حجار,70.5
20200012,سخاء أبا الخيل,69.2
20200013,راوي آل جعفر,67.3
20200014,سلاف الجابر,67.5
20200015,مهران المهيدب,64.1
20200016,ربيع الجفالي,70.7
20200017,مرسال أبو داوود,65.8
20200018,اعتكاف شربتلي,62.2
20200019,صبحي المهيدب,72.7
20200020,مياس الشايع,70.3
20200021,نزيه آل محمد بن علي بن جماز,69.4
20200022,خضر المهيدب,74.8
20200023,ثامر آل حسين,71.1
20200024,ميلاء الخرافي,74.0
20200025,لينا كانو,74.0
20200026,بلند آل الشيخ,68.5
20200027,اعتماد العليان,69.9
20200028,غانم آل قصير,69.5
20200029,هدى أبو داوود,67.6
20200030,لوجين آل جعفر,77.2
20200031,شهم بقشان,66.8
20200032,ضرغام آل قصير,73.6
20200033,سامح المهنا,70.1
20200034,مصعب آل حسين,73.1
20200035,ذيب أبو داوود,72.3
20200036,نافذ العليان,68.6
20200037,رسمي أبا الخيل,70.0
20200038,همام آل مقطة,68.8
20200039,لوليا آل رفيع,66.9
20200040,هايل الجابر,67.8
20200041,نوري آل علي,69.0
20200042,إباء المهيدب,73.7
20200043,يوسف آل مقطة,74.9
20200044,مشفق آل حسين,75.8
20200045,أسرار الحكير,72.9
20200046,عقيل بقشان,71.7
20200047,ظافر آل مقطة,72.8
20200048,شعلان آل عطفة,71.9
20200049,شكري آل بن ظافر,75.0
20200050,افتكار كانو,70.5
20200051,عبد التّواب العقيل,68.6
20200052,خميس آل حسين,74.0
20200053,زهرة آل سعود,73.4
20200054,سرحان آل بن ظافر,64.6
20200055,ذيب المهنا,71.1
20200056,سديم الخرافي,70.0
20200057,لورين المغاولة,63.4
20200058,عبد الشّكور المغاولة,69.7
20200059,طلعت آل علي,68.1
20200060,زهرة بن لادن,61.6
20200061,محجوب بن لادن,71.8
20200062,عبد السّميع الشايع,66.1
20200063,مُعتز كانو,74.1
20200064,جلنار الجفالي,75.1
20200065,رئيس أبو داوود,67.4
20200066,افتكار آل رفيع,71.1
20200067,مُتيّم بن لادن,70.9
20200068,بهية الجابر,62.6
20200069,شهب آل قصير,78.5
20200070,ثقيف آل معيض,75.2
20200071,رمزي آل عواض,72.8
20200072,قاصد آل صفوان,78.1
20200073,غامد الراشد,72.6
20200074,خضر آل خضير,71.3
20200075,ساهر آل عواض,72.6
20200076,حقّي بقشان,69.5
20200077,تالا المهنا,69.7
20200078,أناهيد مهنا,69.5
20200079,داوود آل العسكري,67.6
20200080,زاهي شربتلي,71.5
20200081,شهاب حجار,66.8
20200082,ياسر آل رفيع,72.9
20200083,كرم آل حسين,71.4
20200084,قاسم آل رفيع,68.9
20200085,حامد حجار,70.5
20200086,جرّاح آل عطفة,70.5
20200087,شعيب آل رفيع,65.2
20200088,ميسور آل علي,68.7
20200089,نوف آل بن لافي,71.1
20200090,زهرة آل العسكري,75.2
20200091,هادي الراشد,67.6
20200092,بدرالدّجى آل خضير,74.6
20200093,عبد التّواب آل جعفر,68.3
20200094,ضحّاك آل جعفر,64.5
20200095,جوانا أبا الخيل,70.6
20200096,فتوح الراشد,67.4
20200097,شجاع آل بن لافي,71.1
20200098,ناصر الدّين العجلان,65.5
20200099,حسن حجار,70.7
20200100,ربيع الخرافي,71.3
20200101,صارم آل محمد بن علي بن جماز,77.7
20200102,فرزدق العقيل,70.1
20200103,وصفي آل صفوان,70.3
20200104,كرمة مهنا,74.5
20200105,صباح آل بن لافي,66.4
20200106,ريمان آل صفوان,69.6
20200107,سليم الجابر,72.9
20200108,نضال آل محمد بن علي بن جماز,71.2
20200109,رمضان حجار,74.3
20200110,مشاري كانو,63.3
20200111,شاكر آل الشيخ,69.5
20200112,مهدي مهنا,78.2
20200113,مأمون بقشان,77.3
20200114,نافذ أبا الخيل,64.3
20200115,جود الجفالي,69.9
20200116,كايد كانو,61.5
20200117,عارف آل سلطان,69.3
20200118,وجدي آل الشيخ,72.5
20200119,مقداد آل حسين,70.7
20200120,غزير آل بن ظافر,75.7
20200121,هادي آل معيض,73.6
20200122,زيدان آل قصير,73.0
20200123,مَجدي الجفالي,69.7
20200124,اصيل آل مقطة,73.6
20200125,ريفال الجفالي,70.9
20200126,آيات شربتلي,74.6
20200127,بدرالدّجى آل سعود,70.2
20200128,ميار أبا الخيل,71.2
20200129,كايد الدباغ,74.0
20200130,جوريّة آل حسين,64.1
20200131,تاج حجار,67.9
20200132,شهير الجابر,76.8
20200133,سلطان آل قصير,68.9
20200134,ضياء شربتلي,71.3
20200135,مصعب الحكير,69.9
20200136,لينا مهنا,69.3
20200137,وسيل الدباغ,81.3
20200138,جهاد الخرافي,72.9
20200139,لانا بقشان,71.9
20200140,مجد كانو,78.0
20200141,ليم آل بن ظافر,68.2
20200142,سنام الشايع,74.6
20200143,خلدون آل محمد بن علي بن جماز,74.3
20200144,لانا آل صفوان,76.4
20200145,مصطفى المغاولة,72.5
20200146,مُتيّم المهيدب,73.5
20200147,إخلاص آل الشيخ,72.5
20200148,حسام العليان,75.4
20200149,عمران أبا الخيل,70.5
20200150,منصور آل بن لافي,77.6
20200151,مالك آل عطفة,66.4
20200152,هزار شربتلي,68.1
20200153,رائد آل سعود,68.9
20200154,ثروت الخرافي,73.5
20200155,زكية الدباغ,77.3
20200156,عفيف آل الشيخ,75.1
20200157,صعب آل الشيخ,75.6
20200158,ميرال آل الشيخ,69.2
20200159,ريما المغاولة,72.1
20200160,اعتماد آل خضير,75.1
20200161,شهم آل رفيع,74.3
20200162,ابتهاج فصيل,69.5
20200163,صادق أبا الخيل,65.8
20200164,عبد الغفور آل عايض,70.8
20200165,رباح العقيل,67.8
20200166,كنان شربتلي,67.8
20200167,رؤوف آل العسكري,63.2
20200168,عبد السّميع الشايع,67.3
20200169,رمحي آل محمد بن علي بن جماز,63.7
